accountantId,cancelDate,ignoreField,signDate,signedOrganizationsCount
3DCC394C,,,2018-12-20T00:00:00,70.0
3DDC25CA,,,2019-04-04T00:00:00,70.0
3E2BC47D,,,2019-08-16T00:00:00,130.0
3E3BEBCB,,,2019-07-31T00:00:00,60.0
3E99F9B7,,,2019-07-01T00:00:00,200.0
3EB9A35C,,,2019-02-15T00:00:00,80.0
3EBF636D,,,2019-05-15T00:00:00,60.0
3F5DA628,,,2019-05-28T00:00:00,30.0
3FC2C56C,,,2019-07-16T00:00:00,20.0
3FD3ACBB,,,2019-03-08T00:00:00,100.0
3FEACFE2,,,2019-05-31T00:00:00,150.0
426269D6,,,2019-06-21T00:00:00,22.0
42BEABAC,,,2018-12-17T00:00:00,140.0
42E4BFB9,21/02/2019,,2018-12-19T00:00:00,30.0
432CCCD8,,,2019-07-18T00:00:00,400.0
43AB7E4F,,,2019-02-14T00:00:00,40.0
442CD3C5,21/08/2019,,2019-04-17T00:00:00,70.0
443C2FF4,,,2019-05-24T00:00:00,20.0
4468BBD6,,,2019-08-21T00:00:00,30.0
44B623CF,21/06/2019,,2019-01-21T00:00:00,60.0
44CCB7C8,,,2019-05-14T00:00:00,200.0
44DB9EFA,,,2019-07-18T00:00:00,35.0
453CACFD,,,2019-08-23T00:00:00,110.0
457CEDC3,19/07/2019,,2019-03-08T00:00:00,90.0
459CCF29,,,2019-08-21T00:00:00,35.0
45A6A4FF,,,2019-04-18T00:00:00,40.0
45BAC537,,,2019-08-20T00:00:00,100.0
45D97C89,,,2019-06-04T00:00:00,190.0
45F9EAAF,,,2019-07-16T00:00:00,200.0
46A4DCF5,,,2019-05-13T00:00:00,125.0
46CCEAF6,,,2019-06-04T00:00:00,40.0
46D4A48C,,,2019-08-21T00:00:00,15.0
474CA583,,,2019-08-01T00:00:00,120.0
47544AB7,21/05/2019,,2019-03-20T00:00:00,70.0
476CE4AD,,,2019-08-21T00:00:00,150.0
47A469C2,21/06/2019,,2018-12-19T00:00:00,40.0
47BFBC23,,,2019-02-04T00:00:00,120.0
47DCB9FF,,,2019-06-26T00:00:00,294.0
485B6A3E,,,2019-08-30T00:00:00,55.0
486E426C,,,2019-08-21T00:00:00,60.0
4894C5AC,20/03/2019,,2018-12-10T00:00:00,20.0
48C84C36,,,2019-07-11T00:00:00,200.0
492523C8,,,2019-07-15T00:00:00,130.0
493AC82B,,,2019-02-11T00:00:00,170.0
493BCDFA,,,2019-01-18T00:00:00,70.0
4945C6AE,,,2019-08-19T00:00:00,170.0
499E7335,21/06/2019,,2019-02-04T00:00:00,200.0
49B9EC37,,,2019-06-21T00:00:00,100.0
49CD228B,,,2019-06-21T00:00:00,50.0
4A2FFAFA,,,2019-08-15T00:00:00,110.0
4A33DFFF,,,2019-05-28T00:00:00,120.0
4A43B738,,,2019-07-12T00:00:00,50.0
4A8AA299,,,2019-07-02T00:00:00,50.0
4ABABCA6,,,2019-07-20T00:00:00,120.0
4ACA228C,,,2019-08-21T00:00:00,100.0
4B3ABA4C,06/05/2019,,2019-03-20T00:00:00,50.0
4B448CDC,,,2019-08-21T00:00:00,170.0
4B554774,,,2019-01-24T00:00:00,40.0
4B64747A,,,2019-01-14T00:00:00,18.0
4BFD9CEA,,,2019-08-21T00:00:00,40.0
4C4ED6FD,,,2018-12-20T00:00:00,700.0
4C732A38,,,2019-07-18T00:00:00,50.0
4C87E56F,,,2019-04-01T00:00:00,70.0
4CA27AAC,,,2019-08-19T00:00:00,60.0
4CA28436,,,2019-03-08T00:00:00,300.0
4CC2DC68,,,2019-06-21T00:00:00,40.0
4CECE79C,02/09/2019,,2019-04-12T00:00:00,80.0
4D35594A,,,2019-02-21T00:00:00,50.0
4D4AB7DE,,,2019-07-19T00:00:00,100.0
4DAF9ADC,,,2019-07-12T00:00:00,100.0
4E2AAC25,09/05/2019,,2019-01-25T00:00:00,50.0
4E2ACCFA,,,2019-08-21T00:00:00,150.0
4E2E2BCB,21/06/2019,,2019-02-08T00:00:00,600.0
4E62ACA2,,,2019-08-21T00:00:00,200.0
4E767DD6,,,2019-08-21T00:00:00,70.0
4E9328D3,,,2019-08-21T00:00:00,120.0
4EA2BA27,19/07/2019,,2019-01-14T00:00:00,180.0
4ED2FFAA,,,2019-07-09T00:00:00,160.0
4EFEF74A,,,2019-07-09T00:00:00,170.0
4F28424C,,,2019-05-30T00:00:00,120.0
4FB5FE9A,,,2019-04-15T00:00:00,120.0
4FC7546B,21/06/2019,,2019-01-21T00:00:00,280.0
4FD57C52,,,2019-08-21T00:00:00,130.0
4FDA5A44,,,2019-07-18T00:00:00,30.0
4FDBADCC,,,2019-08-21T00:00:00,330.0
52BCCD69,,,2019-09-02T00:00:00,45.0
52CBCCC4,,,2019-05-21T00:00:00,270.0
52CDCAD7,21/08/2019,,2019-07-09T00:00:00,125.0
52F92479,,,2019-08-21T00:00:00,80.0
52FCAB69,,,2018-12-10T00:00:00,180.0
53274883,,,2019-08-20T00:00:00,120.0
539B7324,,,2019-02-27T00:00:00,170.0
